trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-1001,2025-07-01T14:00:00Z,ADA-USD,BUY,8000.00,0.58,4640.00,SETTLED
T-1002,2025-07-01T17:00:00Z,BTC-USD,BUY,0.30,61380.00,18414.00,SETTLED
T-1003,2025-07-01T22:00:00Z,ETH-USD,BUY,4.00,3349.00,13396.00,SETTLED
T-1004,2025-07-02T00:00:00Z,ETH-USD,BUY,4.00,3403.40,13613.60,SETTLED
T-1005,2025-07-02T02:00:00Z,BTC-USD,SELL,0.30,61566.00,18469.80,SETTLED
T-1006,2025-07-02T07:00:00Z,SOL-USD,SELL,150.00,143.37,21505.50,SETTLED
T-1007,2025-07-02T12:00:00Z,SOL-USD,BUY,150.00,144.98,21747.00,SETTLED
T-1008,2025-07-02T17:00:00Z,ETH-USD,SELL,4.00,3437.40,13749.60,SETTLED
T-1009,2025-07-02T22:00:00Z,BTC-USD,BUY,0.50,62000.00,31000.00,SETTLED
T-1010,2025-07-03T00:00:00Z,ETH-USD,BUY,10.00,3400.00,34000.00,SETTLED
T-1011,2025-07-03T05:00:00Z,SOL-USD,SELL,300.00,146.00,43800.00,SETTLED
T-1012,2025-07-03T06:00:00Z,BTC-USD,BUY,0.20,63200.00,12640.00,SETTLED
T-1013,2025-07-03T07:00:00Z,SOL-USD,BUY,100.00,149.00,14900.00,CANCELLED
T-1014,2025-07-03T12:00:00Z,BTC-USD,SELL,0.75,61800.00,46350.00,SETTLED
T-1015,2025-07-03T15:00:00Z,ETH-USD,SELL,5.00,3380.00,16900.00,SETTLED
T-1016,2025-07-03T16:00:00Z,BTC-USD,BUY,1.25,62500.00,78125.00,SETTLED
T-1017,2025-07-03T23:00:00Z,ADA-USD,BUY,10000.00,0.58,5800.00,SETTLED
T-1018,2025-07-04T02:00:00Z,ETH-USD,BUY,2.00,3410.00,6820.00,SETTLED
T-1019,2025-07-04T09:00:00Z,ADA-USD,SELL,5000.00,0.59,2950.00,CANCELLED
T-1020,2025-07-04T10:00:00Z,SOL-USD,BUY,50.00,147.00,7350.00,CANCELLED
T-1021,2025-07-04T11:00:00Z,ETH-USD,SELL,3.00,3395.00,10185.00,SETTLED
T-1022,2025-07-04T16:00:00Z,BTC-USD,SELL,0.40,62100.00,24840.00,SETTLED
T-1023,2025-07-04T18:00:00Z,SOL-USD,BUY,200.00,148.00,29600.00,SETTLED
T-1024,2025-07-05T01:00:00Z,ADA-USD,BUY,20000.00,0.57,11400.00,SETTLED
T-1025,2025-07-05T06:00:00Z,ADA-USD,BUY,8000.00,0.57,4560.00,SETTLED
T-1026,2025-07-05T08:00:00Z,SOL-USD,BUY,150.00,143.66,21549.00,SETTLED
T-1027,2025-07-05T13:00:00Z,BTC-USD,SELL,0.30,61008.00,18302.40,SETTLED
T-1028,2025-07-05T15:00:00Z,BTC-USD,BUY,0.30,62310.00,18693.00,SETTLED
T-1029,2025-07-05T16:00:00Z,ADA-USD,SELL,8000.00,0.58,4640.00,SETTLED
T-1030,2025-07-05T19:00:00Z,ETH-USD,BUY,4.00,3389.80,13559.20,SETTLED
T-1031,2025-07-06T02:00:00Z,ETH-USD,SELL,4.00,3396.60,13586.40,SETTLED
T-1032,2025-07-06T07:00:00Z,BTC-USD,SELL,0.30,61504.00,18451.20,SETTLED
T-1033,2025-07-06T08:00:00Z,ETH-USD,BUY,4.00,3362.60,13450.40,SETTLED
T-1034,2025-07-06T15:00:00Z,ADA-USD,BUY,8000.00,0.58,4640.00,SETTLED
T-1035,2025-07-06T17:00:00Z,SOL-USD,BUY,150.00,148.19,22228.50,SETTLED
T-1036,2025-07-06T20:00:00Z,ADA-USD,BUY,8000.00,0.59,4720.00,SETTLED
T-1037,2025-07-06T23:00:00Z,ADA-USD,SELL,8000.00,0.58,4640.00,SETTLED
T-1038,2025-07-07T04:00:00Z,BTC-USD,SELL,0.30,62682.00,18804.60,SETTLED
T-1039,2025-07-07T11:00:00Z,BTC-USD,BUY,0.30,62496.00,18748.80,SETTLED
T-1040,2025-07-07T18:00:00Z,ADA-USD,SELL,8000.00,0.58,4640.00,SETTLED
T-9998,not-a-date,BTC-USD,BUY,1.00,62000.00,62000.00,SETTLED
T-9999,2025-07-06T11:00:00Z,ETH-USD,BUY,abc,3400.00,3400.00,SETTLED
