reference,executed_at,symbol,direction,qty,unit_price,total,status
T-1001,2025-07-01 14:00:00,ADA-USD,B,8000,0.58,4640.00,SETTLED
T-1002,2025-07-01 17:00:00,BTC-USD,B,0.3,61380,18414.00,SETTLED
T-1003,2025-07-01 22:00:00,ETH-USD,B,4,3349,13396.00,SETTLED
T-1004,2025-07-02 00:00:00,ETH-USD,B,4,3403.4,13613.60,SETTLED
T-1005,2025-07-02 02:00:00,BTC-USD,S,0.3,61566,18469.80,SETTLED
T-1006,2025-07-02 07:00:00,SOL-USD,S,150,143.37,21505.50,SETTLED
T-1007,2025-07-02 12:00:00,SOL-USD,B,150,144.98,21747.00,SETTLED
T-1008,2025-07-02 17:00:00,ETH-USD,S,4,3437.4,13749.60,SETTLED
T-1009,2025-07-02 22:00:00,BTC-USD,B,0.5,62000,31000.00,SETTLED
T-1010,2025-07-03 00:00:00,ETH-USD,B,10,3417,34170.00,SETTLED
T-1011,2025-07-03 05:40:00,SOL-USD,S,300,146,43800.00,SETTLED
T-1013,2025-07-03 07:00:00,SOL-USD,B,100,149,14900.00,CANCELLED
T-1014,2025-07-03 12:00:00,BTC-USD,S,0.75,61800,46350.02,SETTLED
T-1015,2025-07-03 15:03:00,ETH-USD,S,5,3380,16900.00,SETTLED
T-1016,2025-07-03 16:00:00,BTC-USD,B,1.25,62950,78687.50,SETTLED
T-1017,2025-07-03 23:00:00,ADA-USD,S,10000,0.58,5800.00,SETTLED
T-1018,2025-07-04 02:00:00,ETH-USD,B,2,3410,6820.00,PENDING
T-1019,2025-07-04 09:00:00,ADA-USD,S,5000,0.59,2950.00,CANCELLED
T-1020,2025-07-04 10:00:00,SOL-USD,B,50,147,7350.00,SETTLED
C-91023,2025-07-04 16:12:00,BTC-USD,S,0.4,62100,24840.00,SETTLED
T-1023,2025-07-04 18:00:00,SOL-USD,B,200,148,29600.02,SETTLED
T-1024,2025-07-05 01:00:00,ADA-USD,B,20000,0.57285,11457.00,SETTLED
T-1025,2025-07-05 06:00:00,ADA-USD,B,8000,0.57,4560.00,SETTLED
T-1026,2025-07-05 08:00:00,SOL-USD,B,150,143.66,21549.00,SETTLED
T-1027,2025-07-05 13:00:00,BTC-USD,S,0.3,61008,18302.40,SETTLED
T-1028,2025-07-05 15:00:00,BTC-USD,B,0.3,62310,18693.00,SETTLED
T-1029,2025-07-05 16:00:00,ADA-USD,S,8000,0.58,4640.00,SETTLED
T-1030,2025-07-05 19:00:00,ETH-USD,B,4,3389.8,13559.20,SETTLED
T-1031,2025-07-06 02:00:00,ETH-USD,S,4,3396.6,13586.40,SETTLED
T-1032,2025-07-06 07:00:00,BTC-USD,S,0.3,61504,18451.20,SETTLED
T-1033,2025-07-06 08:00:00,ETH-USD,B,4,3362.6,13450.40,SETTLED
T-1034,2025-07-06 15:00:00,ADA-USD,B,8000,0.58,4640.00,SETTLED
T-1035,2025-07-06 17:00:00,SOL-USD,B,150,148.19,22228.50,SETTLED
T-1036,2025-07-06 20:00:00,ADA-USD,B,8000,0.59,4720.00,SETTLED
T-1037,2025-07-06 23:00:00,ADA-USD,S,8000,0.58,4640.00,SETTLED
T-1038,2025-07-07 04:00:00,BTC-USD,S,0.3,62682,18804.60,SETTLED
T-1039,2025-07-07 11:00:00,BTC-USD,B,0.3,62496,18748.80,SETTLED
T-1040,2025-07-07 18:00:00,ADA-USD,S,8000,0.58,4640.00,SETTLED
C-9001,2025-07-07 23:00:00,BTC-USD,B,0.15,63100.00,9465.00,SETTLED
C-9002,2025-07-08 04:00:00,ETH-USD,S,1.50,3402.00,5103.00,SETTLED
