txn_ref,ts_epoch,pair,bs,volume,rate,value,state
T-1001,1751378400,ADA-USD,d,8000.00,0.58,4640.00,OK
T-1002,1751389200,BTC-USD,d,0.30,61380.00,18414.00,OK
T-1003,1751407200,ETH-USD,d,4.00,3349.00,13396.00,OK
T-1004,1751414400,ETH-USD,d,4.00,3403.40,13613.60,OK
T-1005,1751421600,BTC-USD,c,0.30,61566.00,18469.80,OK
T-1006,1751439600,SOL-USD,c,150.00,143.37,21505.50,OK
T-1007,1751457600,SOL-USD,d,150.00,144.98,21747.00,OK
T-1008,1751475600,ETH-USD,c,4.00,3437.40,13749.60,OK
T-1009,1751493600,BTC-USD,d,0.50,62000.00,31000.00,OK
T-1010,1751500800,ETH-USD,d,10.00,3400.00,34000.00,OK
T-1011,1751518800,SOL-USD,c,300.00,146.00,43800.00,OK
T-1012,1751522400,BTC-USD,d,0.20,63200.00,12640.00,OK
